report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016_03_30,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1028,cases
2016_03_30,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,3240,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,136,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,426,cases
2016_04-06,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,9,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,436,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,60,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,38,cases
2016_04-06,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,22,cases
2016_04-06,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,5,cases
2016_04-06,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1054,cases
2016_04-06,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,3598,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,199,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,540,cases
2016-04-13,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,16,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,550,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,71,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,46,cases
2016-04-13,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,25,cases
2016-04-13,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,6,cases
2016-04-13,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1470,cases
2016-04-13,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,4193,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,197,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,616,cases
2016_04-20,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,22,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,626,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,73,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,48,cases
2016_04-20,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,25,cases
2016_04-20,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,6,cases
2016_04-20,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_zika,PR0013,NA,NA,4,cases
2016_04-20,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_flavi,PR0014,NA,NA,2,cases
2016_04-20,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1314,cases
2016_04-20,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,4678,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,204,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,697,cases
2016_04-27,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,32,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,707,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,89,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,65,cases
2016_04-27,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,24,cases
2016_04-27,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,7,cases
2016_04-27,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_zika,PR0013,NA,NA,5,cases
2016_04-27,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_flavi,PR0014,NA,NA,2,cases
2016_04-27,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1395,cases
2016_04-27,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,5407,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,236,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,775,cases
2016_05-04,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,72,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,785,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,110,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,73,cases
2016_05-04,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,37,cases
2016_05-04,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,7,cases
2016_05-04,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_zika,PR0013,NA,NA,4,cases
2016_05-04,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_flavi,PR0014,NA,NA,3,cases
2016_05-04,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1470,cases
2016_05-04,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,5798,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,303,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,915,cases
2016_05-12,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,92,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,925,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,128,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,88,cases
2016_05-12,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,40,cases
2016_05-12,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,8,cases
2016_05-12,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_zika,PR0013,NA,NA,6,cases
2016_05-12,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_flavi,PR0014,NA,NA,2,cases
2016_05-12,Puerto_Rico,territory,congenital_developmental_defects_reported_cummulative_2015-2016,PR0015,NA,NA,1,cases
2016_05-12,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,1857,cases
2016_05-12,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,6559,cases
